gameId	playId	nflId	displayName	frameId	frameType	time	jerseyNumber	club	playDirection	x	y	s	a	dis	o	dir	event
2022091200	64	35459	Kareem Jackson	1	BEFORE_SNAP	16:03.5	22	DEN	right	51.06	28.55	0.72	0.37	0.07	246.17	68.34	huddle_break_offense
2022091200	64	35459	Kareem Jackson	2	BEFORE_SNAP	16:03.6	22	DEN	right	51.13	28.57	0.71	0.36	0.07	245.41	71.21	NA
2022091200	64	35459	Kareem Jackson	3	BEFORE_SNAP	16:03.7	22	DEN	right	51.2	28.59	0.69	0.23	0.07	244.45	69.9	NA
2022091200	64	35459	Kareem Jackson	4	BEFORE_SNAP	16:03.8	22	DEN	right	51.26	28.62	0.67	0.22	0.07	244.45	67.98	NA
2022091200	64	35459	Kareem Jackson	5	BEFORE_SNAP	16:03.9	22	DEN	right	51.32	28.65	0.65	0.34	0.07	245.74	62.83	NA
2022091200	64	35459	Kareem Jackson	6	BEFORE_SNAP	9/13/22 0:16	22	DEN	right	51.37	28.68	0.62	0.4	0.06	247.01	59.35	NA
2022091200	64	35459	Kareem Jackson	7	BEFORE_SNAP	16:04.1	22	DEN	right	51.43	28.71	0.61	0.42	0.06	248.57	55.39	NA
2022091200	64	35459	Kareem Jackson	8	BEFORE_SNAP	16:04.2	22	DEN	right	51.47	28.75	0.61	0.49	0.06	251.03	48.2	NA
2022091200	64	35459	Kareem Jackson	9	BEFORE_SNAP	16:04.3	22	DEN	right	51.52	28.8	0.62	0.46	0.06	253.26	43.11	NA
2022091200	64	35459	Kareem Jackson	10	BEFORE_SNAP	16:04.4	22	DEN	right	51.56	28.84	0.61	0.4	0.06	254.75	39.52	NA
2022091200	64	35459	Kareem Jackson	11	BEFORE_SNAP	16:04.5	22	DEN	right	51.6	28.89	0.59	0.33	0.06	255.7	37.06	NA
2022091200	64	35459	Kareem Jackson	12	BEFORE_SNAP	16:04.6	22	DEN	right	51.63	28.93	0.52	0.35	0.05	255.7	36.27	NA
2022091200	64	35459	Kareem Jackson	13	BEFORE_SNAP	16:04.7	22	DEN	right	51.66	28.96	0.47	0.37	0.05	254.77	42.92	NA
2022091200	64	35459	Kareem Jackson	14	BEFORE_SNAP	16:04.8	22	DEN	right	51.7	28.99	0.43	0.46	0.04	254.77	48.35	NA
2022091200	64	35459	Kareem Jackson	15	BEFORE_SNAP	16:04.9	22	DEN	right	51.73	29.01	0.38	0.5	0.04	254.77	54.8	NA
2022091200	64	35459	Kareem Jackson	16	BEFORE_SNAP	9/13/22 0:16	22	DEN	right	51.77	29.02	0.38	0.63	0.04	253.11	73.13	NA
2022091200	64	35459	Kareem Jackson	17	BEFORE_SNAP	16:05.1	22	DEN	right	51.8	29.03	0.38	0.51	0.04	250.53	77.91	NA
2022091200	64	35459	Kareem Jackson	18	BEFORE_SNAP	16:05.2	22	DEN	right	51.84	29.04	0.38	0.41	0.04	248.53	84.74	NA
2022091200	64	35459	Kareem Jackson	19	BEFORE_SNAP	16:05.3	22	DEN	right	51.88	29.04	0.41	0.35	0.04	246.3	91.72	NA
2022091200	64	35459	Kareem Jackson	20	BEFORE_SNAP	16:05.4	22	DEN	right	51.92	29.04	0.41	0.27	0.04	243.64	95.42	NA
2022091200	64	35459	Kareem Jackson	21	BEFORE_SNAP	16:05.5	22	DEN	right	51.96	29.03	0.41	0.36	0.04	239.83	104.84	NA
2022091200	64	35459	Kareem Jackson	22	BEFORE_SNAP	16:05.6	22	DEN	right	52	29.02	0.37	0.35	0.04	237.24	109.06	NA
2022091200	64	35459	Kareem Jackson	23	BEFORE_SNAP	16:05.7	22	DEN	right	52.03	29.01	0.35	0.38	0.04	236.23	115.56	NA
2022091200	64	35459	Kareem Jackson	24	BEFORE_SNAP	16:05.8	22	DEN	right	52.06	28.99	0.41	0.28	0.04	233.16	115.93	NA
2022091200	64	35459	Kareem Jackson	25	BEFORE_SNAP	16:05.9	22	DEN	right	52.1	28.98	0.37	0.06	0.04	230.75	112.51	NA
2022091200	64	35459	Kareem Jackson	26	BEFORE_SNAP	9/13/22 0:16	22	DEN	right	52.13	28.96	0.32	0.21	0.03	229.78	113.61	NA
2022091200	64	35459	Kareem Jackson	27	BEFORE_SNAP	16:06.1	22	DEN	right	52.15	28.95	0.24	0.42	0.03	229.78	114.19	NA
2022091200	64	35459	Kareem Jackson	28	BEFORE_SNAP	16:06.2	22	DEN	right	52.17	28.95	0.19	0.45	0.02	229.78	107.63	NA
2022091200	64	35459	Kareem Jackson	29	BEFORE_SNAP	16:06.3	22	DEN	right	52.19	28.94	0.12	0.53	0.01	230.62	99.63	NA
2022091200	64	35459	Kareem Jackson	30	BEFORE_SNAP	16:06.4	22	DEN	right	52.19	28.94	0.05	0.56	0.01	231.72	96.9	NA
2022091200	64	35459	Kareem Jackson	31	BEFORE_SNAP	16:06.5	22	DEN	right	52.19	28.94	0.02	0.54	0	233.12	307.3	NA
2022091200	64	35459	Kareem Jackson	32	BEFORE_SNAP	16:06.6	22	DEN	right	52.19	28.94	0.07	0.44	0	235.27	241.84	NA
2022091200	64	35459	Kareem Jackson	33	BEFORE_SNAP	16:06.7	22	DEN	right	52.18	28.93	0.12	0.4	0.01	236.38	229	NA
2022091200	64	35459	Kareem Jackson	34	BEFORE_SNAP	16:06.8	22	DEN	right	52.17	28.93	0.16	0.37	0.01	240.48	267.77	NA
2022091200	64	35459	Kareem Jackson	35	BEFORE_SNAP	16:06.9	22	DEN	right	52.15	28.94	0.22	0.41	0.02	243.03	284.04	NA
